gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
0,4676.2,4833.2,96.3,98.66,2,2,100,100,6,7,40,15,12384,6696,0,807,204,105,0,3539,-1
1,5002.375,4915.125,440.94,363.14,2,2,100,100,20,20,40,46,13272,5480,0,2049,232,1598,0,6306,-1
2,5273.35,5190.5,739.22,664.47,2,2,100,100,20,20,40,70,14009,6098,0,1838,121,2765,1,9576,-1
3,10028.5,5361.35,1207.62,1057.01,3,2,100,100,1,20,40,83,9508,3991,0,2575,330,3798,0,12627,-1
4,10028.5,5361.35,1619.69,1316.61,2,2,100,100,1,20,40,92,11618,6460,0,4386,41,6924,2,12573,-1
5,10473.0,9803.6,2095.76,1672.84,3,3,80,100,4,1,20,114,8546,3573,0,4899,237,7894,1,16489,-1
6,10641.25,9803.6,2455.9,1630.23,3,2,81,100,8,1,21,92,13440,5633,0,3821,316,8599,0,27895,-1
7,10641.25,9803.6,2673.01,1405.08,3,2,81,82,9,1,3,59,9708,3455,0,467,79,1861,1,15773,-1
8,10641.25,5066.5,2759.87,1440.51,3,2,100,100,10,20,40,90,16191,6364,0,2561,344,2951,1,18383,-1
9,10641.25,5066.5,2904.57,1444.71,3,2,100,80,10,20,20,76,16618,6366,0,862,7,2167,1,7295,-1
10,10641.25,5066.5,2577.5,1344.84,2,2,100,100,8,20,40,55,18472,8874,0,760,53,1713,1,8627,-1
11,10641.25,5066.5,2399.48,1329.38,3,2,100,100,6,20,40,77,18804,8955,0,1340,266,2035,4,6887,-1
12,10641.25,5066.5,2326.36,1448.6,2,2,100,100,4,20,40,63,16328,4664,0,418,237,1603,5,3172,-1
13,10641.25,5066.5,2403.23,1466.68,3,2,100,100,3,20,40,83,16453,4806,0,1734,338,1690,5,3610,-1
14,10641.25,5066.5,2616.1,1517.21,3,2,100,100,4,20,40,96,14283,5550,0,1063,334,3302,1,6250,-1
15,10641.25,9041.3,2952.74,1862.48,3,3,100,100,5,1,40,122,12905,3719,0,1887,535,4945,2,9254,-1
16,10641.25,9041.3,3143.28,1748.52,3,3,100,100,5,1,40,157,16387,13487,0,2138,529,10308,5,20928,-1
